state,shape,count,pct_cases
MA,formation,7,2.87
MA,changing,5,2.05
MA,rectangle,5,2.05
MA,flash,4,1.64
MA,chevron,3,1.23
MA,cylinder,2,0.82
MA,teardrop,1,0.41
IN,circle,35,16.51
IN,light,35,16.51
IN,triangle,30,14.15
IN,other,20,9.43
IN,sphere,14,6.6
IN,unknown,13,6.13
IN,oval,11,5.19
IN,cylinder,10,4.72
IN,cigar,8,3.77
IN,flash,8,3.77
IN,formation,8,3.77
IN,rectangle,6,2.83
IN,chevron,5,2.36
IN,changing,4,1.89
IN,teardrop,3,1.42
IN,cone,1,0.47
IN,cross,1,0.47
IL,light,74,23.27
IL,triangle,54,16.98
IL,circle,41,12.89
IL,sphere,22,6.92
IL,other,19,5.97
IL,unknown,19,5.97
IL,oval,16,5.03
IL,formation,14,4.4
IL,cylinder,11,3.46
IL,changing,10,3.14
IL,chevron,10,3.14
IL,cigar,9,2.83
IL,rectangle,9,2.83
IL,flash,4,1.26
IL,cross,3,0.94
IL,teardrop,2,0.63
IL,cone,1,0.31
GA,light,44,19.3
GA,triangle,32,14.04
GA,circle,29,12.72
GA,other,26,11.4
GA,unknown,16,7.02
GA,oval,14,6.14
GA,cigar,12,5.26
GA,rectangle,12,5.26
GA,sphere,12,5.26
GA,changing,9,3.95
GA,teardrop,8,3.51
GA,formation,6,2.63
GA,chevron,3,1.32
GA,cylinder,2,0.88
GA,flash,2,0.88
GA,cross,1,0.44
FL,light,113,17.77
FL,triangle,95,14.94
FL,circle,90,14.15
FL,other,58,9.12
FL,sphere,44,6.92
FL,oval,41,6.45
FL,unknown,41,6.45
FL,rectangle,32,5.03
FL,cigar,31,4.87
FL,formation,20,3.14
FL,changing,19,2.99
FL,chevron,18,2.83
FL,cylinder,11,1.73
FL,flash,10,1.57
FL,teardrop,5,0.79
FL,cone,4,0.63
FL,cross,4,0.63
CO,circle,47,17.34
CO,light,46,16.97
CO,triangle,39,14.39
CO,other,31,11.44
CO,sphere,27,9.96
CO,unknown,18,6.64
CO,rectangle,13,4.8
CO,chevron,11,4.06
CO,oval,11,4.06
CO,cylinder,8,2.95
CO,formation,8,2.95
CO,cigar,5,1.85
CO,teardrop,3,1.11
CO,changing,2,0.74
CO,flash,2,0.74
CA,light,293,20.46
CA,triangle,197,13.76
CA,circle,192,13.41
CA,other,130,9.08
CA,sphere,117,8.17
CA,unknown,107,7.47
CA,oval,83,5.8
CA,changing,54,3.77
CA,rectangle,51,3.56
CA,chevron,45,3.14
CA,formation,38,2.65
CA,cigar,37,2.58
CA,flash,30,2.09
CA,cylinder,26,1.82
CA,teardrop,19,1.33
CA,cross,8,0.56
CA,cone,4,0.28
CA,round,1,0.07
AZ,light,97,21.6
AZ,triangle,72,16.04
AZ,circle,70,15.59
AZ,other,48,10.69
AZ,sphere,34,7.57
AZ,unknown,29,6.46
AZ,oval,22,4.9
AZ,formation,17,3.79
AZ,rectangle,14,3.12
AZ,changing,13,2.9
AZ,cigar,9,2.0
AZ,flash,8,1.78
AZ,chevron,5,1.11
AZ,teardrop,5,1.11
AZ,cone,3,0.67
AZ,cylinder,3,0.67
